wl:2326.00  use:T print:T label:C2_2326 # total C II] 2324.69 + 2328.12
wl:2334.61  use:T print:T label:Si2_2335  # total Si II] 2335 all lines in multiplet # no line of multiplet in wl:2335.00
wl:2412.87  use:T print:T label:Ca5_2413  
wl:2424.42  use:T print:T label:Ne4_2424  
wl:2471.00  use:T print:T label:O2_2471 #leitherer 2470.97 2471.09 # no wl:2471.00  in nist, forbidden
wl:2665.00  use:T print:T label:_2665 
wl:2795.53  use:T print:T label:Mg2_2796  # leitherer wl:2796.35   
wl:2802.71  use:T print:T label:Mg2_2803  # leitherer wl:2803.53   
wl:2798.00  use:F print:F label:_2798 # sum of Mg2 components
wl:2973.13  use:T print:T label:Ne5_2976  # no wl:2976.00    in nist  
wl:3203.18  use:T print:T label:He2PaB_3203 # no wl:3203.30      in nist
wl:3342.18  use:T print:T label:Ne3_3343  # no wl:3343.00     in nist 
wl:3353.17  use:T print:T label:Cl3_3354  # no wl:3354.00      in nist
wl:3425.88  use:T print:T label:Ne5_3426  
wl:3586.32  use:T print:T label:Fe7_3586  
wl:3721.69  use:T print:T label:S3_3722 
wl:3727.32  use:T print:T label:O2_3726 # the highest intensity in nist
wl:3728.00  use:F print:F label:_3727 # sum of O2 components
wl:3729.23  use:T print:T label:O2_3729 
wl:3758.92  use:T print:T label:Fe7_3759  
wl:3868.76  use:T print:T label:Ne3_3869  # no wl:3869.00    in nist  
wl:3888.65  use:T print:T label:He1_3889  
wl:3933.66  use:T print:T label:Ca2_3933  
wl:3934.00  use:T print:T label:Ca2K_3934 
wl:3968.47  use:T print:T label:Ca2H_3969 
wl:3998.00  use:T print:T label:C5_3998 # no nist, nor in cloudy?
wl:4069.19  use:T print:T label:S2_4070 # no wl:4070.00    in nist: 4 068.600, 4 076.349
wl:4074.00  use:F print:F label:S2_4074 # no nist
wl:4076.35  use:T print:T label:S2_4078 # no wl:4078.00      in nist
wl:4101.74  use:T print:T label:HBaD_4102 
wl:4340.47  use:T print:T label:HBaG_4340 
wl:4363.21  use:T print:T label:O3_4363 
wl:4685.92  use:T print:T label:He2_4686  # no wl:4686.01  in nist
wl:4698.24  use:T print:T label:Fe7_4699  
wl:4720.63  use:T print:T label:Ne4_4720  # no wl:4720.00 , 4715.66 y 4724.15(4725.49 in chianti)
wl:4740.12  use:T print:T label:Ar4_4740  
wl:4860.00  use:F print:F label:_4860 
wl:4861.33  use:T print:T label:HBaB_4861 
wl:4893.37  use:T print:T label:Fe7_4894  
wl:4942.48  use:T print:T label:Fe7_4943  
wl:4958.91  use:T print:T label:O3_4959 
wl:4988.55  use:T print:T label:Fe7_4989  
wl:5006.84  use:T print:T label:O3_5007 
wl:5158.89  use:T print:T label:Fe7_5159  
wl:5200.25  use:T print:T label:N1_5200 
wl:5276.38  use:T print:T label:Fe7_5277  
wl:5302.86  use:T print:T label:Fe14_5303 
wl:5309.11  use:T print:T label:Ca5_5309  
wl:5577.34  use:T print:T label:O1_5577 
wl:5720.70  use:T print:T label:Fe7_5721  
wl:5754.59  use:T print:T label:N2_5755 # no wl:5755.00   in nist 
wl:5875.62  use:T print:T label:He1_5876  
wl:6086.92  use:T print:T label:Ca5_6086  
wl:6087.00  use:T print:T label:Fe7_6087  
wl:6300.30  use:T print:T label:O1_6300 
wl:6363.78  use:T print:T label:O1_6363 
wl:6312.06  use:T print:T label:S3_6312 
wl:6374.51  use:T print:T label:Fe10_6375 
wl:6548.05  use:T print:T label:N2_6548 
wl:6562.82  use:T print:T label:HBaA_6563 
wl:6583.45  use:T print:T label:N2_6584 # no wl:6584.00   in nist
wl:6716.44  use:T print:T label:S2_6716 
wl:6720.00  use:F print:F label:S2_6720 # no nist
wl:6730.82  use:T print:T label:S2_6731 
wl:7005.83  use:T print:T label:Ar5_7005  
wl:7135.79  use:T print:T label:Ar3_7135  
wl:7291.00  use:T print:T label:CaF1_7291 # no nist, 5 level atom
wl:7324.00  use:T print:T label:CaF2_7324 # no nist
wl:7325.00  use:T print:T label:Ar3_7325  # no nist
wl:7332.15  use:T print:T label:Ar4_7331  # no wl:7331.00   in nist
wl:7335.00  use:T print:T label:Cl9_7334  
wl:7751.11  use:T print:T label:Ar3_7751  
wl:7891.94  use:T print:T label:Fe11_7892 
wl:8045.63  use:T print:T label:Cl4_8047  # no wl: 8047.00   in nist
wl:8446.36  use:T print:T label:O1_8446 
wl:8498.02  use:T print:T label:Ca2X_8498 
wl:8542.09  use:T print:T label:Ca2Y_8542 
wl:8662.14  use:T print:T label:Ca2Z_8662 
wl:8579.00  use:T print:T label:Ca2_8579  # no nist
wl:9068.60  use:T print:T label:S3_9069 
wl:9229.01  use:T print:T label:H1_9229 
wl:9530.60  use:T print:T label:S3_9532 
wl:9545.97  use:T print:T label:H1_9546 
wl:9850.26  use:T print:T label:C1_9850 
wl:10286.73 use:T print:T label:S2_10289  # no wl:10289.00   in nist
wl:10320.49 use:T print:T label:S2_10323  # no wl:10323.00   in nist: 10332.9,10320.49   
wl:10370.49 use:T print:T label:S2_10373  # no wl:10373.00   in nist
wl:10336.41 use:T print:T label:S2_10339  # no wl:10339.00   in nist
wl:10398.16 use:T print:T label:N1_10398  
wl:10829.90 use:T print:T label:_10830  
wl:18750.98 use:T print:T label:HPaA_18751  
wl:12818.07 use:T print:T label:HPaB_12818  
wl:10938.09 use:T print:T label:HPaG_10938  
wl:10049.37 use:T print:T label:HPaD_10049  
wl:40522.69 use:T print:T label:HBrA_40512  # no wl:40511.60   in nist
wl:26258.68 use:T print:T label:HBrB_26252  # no wl:26251.50   in nist
wl:21661.18 use:T print:T label:HBrG_21655  # no wl:21655.30   in nist
wl:19445.58 use:T print:T label:HBrD_19446  
wl:1576790.00 use:T print:T label:C2_1576000  
wl:1218000.00 use:T print:T label:N2_1217000  
wl:2053000.00 use:T print:T label:N2_2054000  
wl:573300.00  use:T print:T label:N3_572100 # no 572100.00 in nist
wl:631852.00  use:T print:T label:O1_631700 # no 631700.00 in nist
wl:1455350.00 use:T print:T label:O1_1455300  # no wl:1455300.00   in nist
wl:518145.00  use:T print:T label:O3_518000 # no 518000.00 in nist
wl:883564.00  use:T print:T label:O3_883300 # no 883300.00 in nist
wl:259130.00  use:T print:T label:O4_258800 # no wl:258800.00 in nist
wl:128135.48  use:T print:T label:Ne2_128100  # no wl:128100.00   in nist
wl:155551.00  use:T print:T label:Ne3_155500  
wl:360135.00  use:T print:T label:Ne3_360140  
wl:143217.00  use:T print:T label:Ne5_143200  
wl:76522.00 use:T print:T label:Ne6_76520 # no wl: 76520.00   in nist
wl:73177.00 use:T print:T label:Na3_73200 # no wl:73200.00   in nist
wl:90391.00 use:T print:T label:Na4_90390 
wl:212900.00  use:T print:T label:Na4_212900  
wl:143964.00  use:T print:T label:Na6_144000  # no wl:144000.00   in nist
wl:86106.00 use:T print:T label:Na6_86110 
wl:44880.00 use:T print:T label:Mg4_44850 # no wl:44850.00   in nist 
wl:56082.00 use:T print:T label:Mg5_56100 # no wl:56100.00   in nist 
wl:135370.00  use:T print:T label:Mg5_135200  # no wl:135200.00   in nist   
wl:55040.00 use:T print:T label:Mg7_55030 # no wl:55030.00   in nist   
wl:90330.00 use:T print:T label:Mg7_90330 # no wl:30300.00   in nist   
wl:30280.00 use:T print:T label:Mg8_30300 
wl:29050.00 use:T print:T label:Al5_29052 # no wl:29052.00   in nist   
wl:36603.00 use:T print:T label:Al6_36600 # no wl:36600.00    in nist  
wl:91160.00 use:T print:T label:Al6_91160 
wl:58500.00 use:T print:T label:Al8_58480 # no wl:58480.00   in nist   
wl:36900.00 use:T print:T label:Al8_36900 
wl:348140.00  use:T print:T label:Si2_348140  
wl:19641.00 use:T print:T label:Si6_19631 # no wl:19631.00   in nist   
wl:24810.00 use:T print:T label:Si7_24810 
wl:64920.00 use:T print:T label:Si7_64920 # no wl:64920.00 in nist, 65150
wl:39290.00 use:T print:T label:Si9_39290 
wl:25850.00 use:T print:T label:Si9_25840 # no wl:25840.00     in nist 
wl:14301.00 use:T print:T label:Si10_14300  
wl:187130.00  use:T print:T label:S3_186700 # no wl:186700.00 in nist
wl:334800.00  use:T print:T label:S3_334700 
wl:105105.00  use:T print:T label:S4_105100 
wl:9913.00  use:T print:T label:S8_9914 
wl:12520.00 use:T print:T label:S9_12520  
wl:19196.00 use:T print:T label:S11_19201 # no wl:19201.00    in nist  
wl:13923.60 use:T print:T label:S11_13927 # no wl:13927.00    in nist  
wl:69852.74 use:T print:T label:Ar2_69800 # no wl:69800.00     in nist
wl:89914.30 use:T print:T label:Ar3_90000 # no wl:90000.00      in nist
wl:218312.00  use:T print:T label:Ar3_218300  # no wl:218300.00      in nist
wl:79019.00 use:T print:T label:Ar5_80000 # no wl:80000.00    in nist  
wl:131021.00  use:T print:T label:Ar5_131000  # no wl: 131000.00    in nist  
wl:45292.00 use:T print:T label:Ar6_45300 # no wl:45300.00      in nist
wl:5533.27  use:T print:T label:Ar10_5534 
wl:25953.50 use:T print:T label:Ar11_25950  # no nist, taken from cloudy output
wl:32070.00 use:T print:T label:Ca4_32100 # no 32100.00   in nist   
wl:41585.00 use:T print:T label:Ca5_41570 
wl:114824.00  use:T print:T label:Ca5_114800  
wl:23211.00 use:T print:T label:Ca8_23210 
wl:23118.00 use:T print:T label:Sc5_23100 # no wl:23100.00    in nist
wl:17151.00 use:T print:T label:Ti6_17150 
wl:13038.00 use:T print:T label:V7_13040  
wl:10106.00 use:T print:T label:Cr8_10110 
wl:7968.50  use:T print:T label:Mn9_7968  
wl:5167.90  use:T print:T label:Co11_5168 
wl:4231.00  use:T print:T label:Ni12_4231 
wl:6181.98  use:T print:T label:Fe2_6200  # no wl:6200.00 in nist
wl:4298.16  use:T print:T label:Fe2_4300  # no wl:4300.00   in nist : 4296.57, 4303.17   
wl:2400.34  use:T print:T label:Fe2_2400  
wl:1080.10  use:T print:T label:Fe2_1080  # no wl:1080.00 in nist  1081.88,  1079.85
wl:1500.34  use:T print:T label:Fe2_1500  
wl:11499.76 use:T print:T label:Fe2_11500 # no wl:11500.00    in nist  
wl:2500.92  use:T print:T label:Fe2_2500  
wl:2300.62  use:T print:T label:Fe2_2300  
wl:8898.03  use:T print:T label:Fe2_8900  # no wl:8900.00   in nist  8897.80,  8904.79
wl:1216.52  use:T print:T label:Fe2_1216  
