z hmass bhmass stmass dymass gmass
11.000000045814733 547829937.9982285 2573972.75 5126828.461146076 2531767.302421798 111097106.96848345 
10.80327872209871 601343371.7153823 3091246.25 5126828.461146076 3038120.6769781075 107584280.04313758 
10.612903262344137 670342485.9757898 3711919.75 5126828.461146076 3291297.3642562623 94260855.42508885 
10.428571450728723 753439622.0844405 4476725.5 5126828.461146076 3291297.3642562623 83136903.53286797 
10.250000033178221 799911426.0407441 5400038.0 5126828.461146076 3544474.0515344176 76870779.9051258 
10.07692310531341 866105698.2580454 6513054.0 5237593.273578245 3544474.0515344176 88089673.09535474 
9.90909093031712 968910540.3011515 7908415.0 7975066.4951161165 3544474.0515344176 100732685.35291718 
9.746268663958205 1043548863.3008562 9555311.0 8307360.9324126225 3544474.0515344176 102694804.88071674 
9.588235352470946 1125228816.0614114 11621141.0 8386478.655578459 3544474.0515344176 108707751.8480333 
9.43478265303356 1119589607.322114 14127883.0 8513067.012643795 3544474.0515344176 109767929.33342063 
9.285714338972939 1129450841.4526129 17163162.0 8608008.280442797 4050827.426090727 116334700.37128943 
9.140845098831553 1174520224.3873634 20938434.0 8671302.458975464 6076241.353956215 119784233.13824202 
9.000000038166535 1199867139.061116 25518148.0 8687126.003608631 6329418.04123437 123407824.87769836 
8.86301371689571 1366046648.9518747 31229326.0 8734596.637508132 6582594.728512525 140766253.33860418 
8.72972974418902 1904044877.4726896 38171028.0 20982020.183579315 6582594.728512525 203664843.41823596 
8.600000022507658 2311042220.253912 46847156.0 21583314.879639655 6835771.41579068 251341183.3425845 
8.473684255249513 2594036020.076764 57407612.0 22200433.120333165 7088948.103068835 300489112.99669695 
8.350649381560412 2809565987.5996456 70632872.0 22627668.82542867 8750420.220741788 344779214.42660934 
8.230769254416389 2960289341.6002364 86890040.0 23070728.07515734 26108849.52750184 366409999.76057225 
8.113924083191586 3105255388.249188 107013200.0 23102375.164423674 37011273.30866894 383309545.37508947 
8.00000001328246 3595364629.465604 132114944.0 23861905.306815684 38783508.40105503 495451006.2457266 
7.888888930525614 3995276055.5063477 163248784.0 24494847.092142366 42834335.39750551 571514785.3057516 
7.780487834629815 4585473870.682019 201874992.0 26425319.537388723 56933114.21109894 723325872.6808263 
7.6746988347809335 5068497195.157957 249809712.0 34099738.684474684 69069777.56504892 799500416.8839047 
7.571428615800144 5348686152.937703 310349856.0 37122035.70940955 121619770.69987498 795465413.215589 
7.470588269496647 5513433717.153824 385125280.0 40223450.45751026 174153939.3250556 789610701.9396334 
7.372093041276534 5654266312.37083 478945760.0 47771281.24753087 210453150.94514343 784388932.8316526 
7.275862091395776 5834514319.456746 596859584.0 51663873.22728993 233065000.37968743 795592002.7675912 
7.1818182242299216 5971213463.241807 744028224.0 58198997.160787866 255423671.40839228 802427774.3512102 
7.089887678533749 6513433717.153824 927662720.0 63072648.90780325 298526995.97289443 798107946.829149 
7.000000018746457 6580897549.453794 1158779648.0 66775358.35196433 307372360.6736674 801066949.6638032 
6.912087943117583 6776645999.409507 1450210432.0 70240714.62662789 326376455.6333454 791620293.526194 
6.826086971445962 8025834071.44966 1818279808.0 95115326.78996623 337832685.6952732 841100518.0791304 
6.741935496813265 8480808975.494538 2279405568.0 123281236.23700331 347706574.78056026 862319891.4775208 
6.659574490472182 8810304103.926779 2862452736.0 126002885.913908 355555064.11611 891087095.5836961 
6.578947393033193 8718777679.362267 3600603392.0 127616887.46649103 360935067.4318501 905043461.9467927 
6.5000000110594085 8856805432.536167 4527371776.0 129594830.54563689 373483147.41384965 913113469.6660725 
6.422680418764917 9003247711.839386 5713069568.0 131857597.42817977 384796970.6374564 918920710.5682623 
6.346938782539225 9172276350.752878 7205625344.0 133914658.23049147 393594875.557781 933826489.6831934 
6.27272727615381 9429878948.92235 9101286400.0 136098307.3898685 406095468.2623563 946928384.7938577 
6.200000000017871 9741216415.707115 11511834624.0 137680661.85318518 437552668.6491853 937592493.2018337 
6.128712904264023 9820047239.444937 14580344832.0 139579487.20916522 448012023.34588987 954033156.0773724 
6.058823557905113 10148213758.488338 18491099136.0 140782076.6012859 468566837.7598937 964539989.7003689 
5.9902912816501095 10463684676.70505 23427442688.0 142680901.95726594 487839908.13808036 1002579790.9112315 
5.923076924597989 10970622970.1801 29783431168.0 152982029.5134576 523284664.97975403 1024131458.9801998 
5.857142882537169 11473427812.223206 37820772352.0 193205479.97096783 539044886.6954834 1121667788.589099 
5.79245284921325 12001476232.654266 48189644800.0 242290115.42305154 554615269.2894194 1248477676.0076728 
5.728971993928865 12545025095.955122 61468463104.0 249110063.1599465 571483179.1833541 1322104629.4929242 
5.66666668228044 12785946265.131384 78294925312.0 261895487.22354534 587987139.1039315 1361584373.8175597 
5.605504617152788 12768969589.607323 100310016000.0 267212198.22028944 609443854.3283099 1387803987.4811463 
5.5454545697402144 13257750221.434898 128160219136.0 274332793.3052145 625299050.5988879 1424277258.301984 
5.486486486561121 13384410983.170948 164089610240.0 283542096.28171766 666329488.1362286 1426128613.6332812 
5.428571446793973 13829495128.432241 210524372992.0 290789279.7237081 728974913.4913778 1419625137.0156176 
5.371681443677108 14454679657.514025 269983350784.0 295362284.12269336 865278907.993532 1347026713.459925 
5.315789494186491 14844995571.302036 346456391680.0 297087050.48770857 960489166.9197636 1334320406.7015996 
5.260869567932341 15224387363.448479 446031462400.0 298131404.43349755 1001503876.1868745 1380097921.1826975 
5.206896554009874 15286389134.927664 573051371520.0 298621934.31712574 1043942598.8432438 1422046137.899491 
5.153846160536542 15231768526.71981 738614902784.0 296738932.50577885 1107632304.350113 1443945923.5308182 
5.101694921122881 13663271331.561853 952447860736.0 288668924.7428638 1155245407.9362473 1437379152.04317 
5.0504202007188495 13702686743.430765 1232131325952.0 289380984.25135624 1194930803.399189 1491464027.6295433 
5.000000000007449 14639208739.297314 1592457428992.0 284254155.7902102 1302198706.2448032 1532779302.2052147 
4.950413234078262 14313847062.297018 2058743054336.0 283320566.6568533 1339732078.383868 1601342721.0587697 
4.901639371455913 14178771774.43165 2666082336768.0 282687624.87152666 1403137025.208047 1668798491.7242284 
4.853658547788147 13885739592.559788 3453209018368.0 281896447.6398683 1448155074.1941838 1769483706.199895 
4.806451641410779 13359019781.517567 4486362300416.0 279649504.3019586 1483330745.629445 1779689892.406052 
4.760000023668544 14032181871.863005 5829004099584.0 284285802.8794765 1514344914.7401536 1963970893.663763 
