z hmass bhmass stmass dymass gmass
11.413793155398885 3101121936.8172426 2649883.5 30317911.51714778 2642531.9956959286 482807995.65302014 
11.203389888821867 3564363743.7260113 3177207.5 32675619.667489648 2642531.9956959286 437172892.9242537 
11.000000045814733 3891054030.115146 3804644.25 35840328.594123036 2895708.6829740833 320268544.95288336 
10.80327872209871 4095364629.465604 4576610.0 38008154.208866894 2895708.6829740833 285393452.52096534 
10.612903262344137 4616327133.156185 5507687.5 40081038.55581176 2895708.6829740833 280329918.3457621 
10.428571450728723 6393711248.892825 6629209.0 44891396.1242945 2895708.6829740833 256230660.10944322 
10.250000033178221 6669619131.9752 7997168.5 47723810.61363137 2895708.6829740833 243097118.08741063 
10.07692310531341 7044286979.62799 9646330.0 49828342.04984257 2895708.6829740833 264063314.70453912 
9.90909093031712 7858281665.190434 11687857.0 51331578.78999343 2895708.6829740833 300900526.6508304 
9.746268663958205 8523029229.406554 14156302.0 54622876.073692136 2895708.6829740833 314872716.74484956 
9.588235352470946 9221582521.405373 17221712.0 57028054.857933514 2895708.6829740833 319414074.03610736 
9.43478265303356 9751107174.4907 20941186.0 57724290.821792856 9478303.841126857 320300192.40130216 
9.285714338972939 10097431355.181576 25510156.0 58816115.40148137 11092305.00770497 322024958.7780653 
9.140845098831553 10589016829.05226 31049520.0 61917530.14958207 11092305.00770497 325585256.52024347 
9.000000038166535 11104369648.656628 37949952.0 62613766.11344142 11598658.38226128 321850900.03380793 
8.86301371689571 11577649837.614408 46331672.0 63120119.54170276 11598658.38226128 292672283.6362644 
8.72972974418902 12650723354.000591 56644404.0 71617363.00971341 12010070.713908406 295346462.95954275 
8.600000022507658 13656185414.821375 69531912.0 71585715.92044708 12769600.77574287 289539222.0506396 
8.473684255249513 14598317094.774136 85212760.0 72107892.89334157 12769600.77574287 306407120.69337034 
8.350649381560412 16288751107.17449 104860608.0 74164953.69565327 12769600.77574287 358498229.9211334 
8.230769254416389 18030705639.20874 128783520.0 74718777.75781411 12769600.77574287 410478574.1065396 
8.113924083191586 21519043401.240036 158838064.0 123534412.95113398 14731721.391069317 584268565.6433616 
8.00000001328246 24744611750.811928 196094928.0 130101183.97389825 14984898.078347472 715414103.9591234 
7.888888930525614 28452908178.328903 242297808.0 160086801.0537495 14984898.078347472 912907765.9606106 
7.780487834629815 30594921759.669323 299614528.0 163029980.35551858 16250781.514738247 998687201.6301503 
