z hmass bhmass stmass dymass gmass
10.428571450728723 253498671.39061117 2757105.5 221529.6248643366 2927355.7688838528 120163997.95433913 
10.250000033178221 267581930.9123118 3325670.0 221529.6248643366 2927355.7688838528 83026138.69190502 
10.07692310531341 290109241.2164157 4010897.25 221529.6248643366 2927355.7688838528 71395833.38484907 
9.90909093031712 416858576.9117213 4857513.0 221529.6248643366 2927355.7688838528 78737958.0946385 
9.746268663958205 377428402.71626806 5882826.0 221529.6248643366 2927355.7688838528 68610889.52941169 
9.588235352470946 363345143.19456744 7155532.0 221529.6248643366 2927355.7688838528 68515948.27168238 
9.43478265303356 267581930.9123118 8699201.0 221529.6248643366 2927355.7688838528 58895233.13471689 
9.285714338972939 199985237.67345732 10568165.0 221529.6248643366 2927355.7688838528 52233520.85254504 
9.140845098831553 211248892.8255093 12892557.0 221529.6248643366 2927355.7688838528 59559822.01937959 
9.000000038166535 218290522.58635962 15706271.0 221529.6248643366 2927355.7688838528 71886363.27015552 
8.86301371689571 215470918.21671095 19214224.0 221529.6248643366 2927355.7688838528 83437550.86243704 
8.72972974418902 221095364.6294656 23345826.0 221529.6248643366 2927355.7688838528 92520265.4852314 
8.600000022507658 223914968.99911425 28808122.0 221529.6248643366 3180532.6709821317 101998568.73560292 
8.473684255249513 211248892.8255093 35303800.0 221529.6248643366 3180532.6709821317 106729808.56245872 
8.350649381560412 226734573.3687629 43438224.0 221529.6248643366 3686886.0455384417 114799816.32873039 
8.230769254416389 228136994.39031592 53326736.0 221529.6248643366 4193239.4200947513 119230408.83944339 
8.113924083191586 222512547.97756127 65734192.0 221529.6248643366 4446416.107372906 122585000.3083879 
8.00000001328246 233776203.12961322 80862456.0 221529.6248643366 4952769.4819292165 128740359.17572467 
7.888888930525614 245039858.28166518 99820664.0 221529.6248643366 4952769.4819292165 131620244.28889135 
7.780487834629815 256303513.43371716 123708592.0 221529.6248643366 4952769.4819292165 133044363.31594607 
7.6746988347809335 273206377.32506645 153005056.0 221529.6248643366 4952769.4819292165 135671071.72840837 
7.571428615800144 278845586.0643637 189999552.0 221529.6248643366 4952769.4819292165 135955895.5553013 
7.470588269496647 287289636.84676707 235295952.0 221529.6248643366 4952769.4819292165 137649014.85286784 
7.372093041276534 294331266.6076174 292397152.0 221529.6248643366 4952769.4819292165 138202838.90999386 
7.275862091395776 297150870.977266 364575968.0 221529.6248643366 4952769.4819292165 142459372.4213506 
7.1818182242299216 299970475.34691465 449964352.0 221529.6248643366 4952769.4819292165 146082964.14738065 
7.089887678533749 308414526.129318 565497280.0 237353.1694975035 5949653.010317137 152792147.08526966 
7.000000018746457 304192500.7381163 703431744.0 269000.25876383734 7215536.446707912 150798380.47156033 
6.912087943117583 323914968.9991143 878160192.0 474706.3389950072 8987774.116935493 155798620.5823542 
6.826086971445962 312636551.5205196 1100300160.0 601294.6960603421 12279071.051551508 153282677.0108549 
6.741935496813265 318275760.25981694 1383892736.0 1376648.3830855202 16076722.22000433 146051317.1957335 
6.659574490472182 308414526.129318 1733386880.0 1629825.0972161905 16836252.281838793 141161841.92590255 
6.578947393033193 308414526.129318 2178896640.0 1851354.722080527 18102135.71822957 137300897.05554923 
6.5000000110594085 299970475.34691465 2749339648.0 2326061.0610755347 44321749.93900554 107204515.01222035 
6.422680418764917 294331266.6076174 3452912896.0 2326061.0610755347 50635344.32987496 97140740.64566559 
6.346938782539225 285887215.825214 4352240128.0 2326061.0610755347 54939349.73216459 89861910.08084318 
6.27272727615381 285887215.825214 5505122816.0 2326061.0610755347 58230648.3853416 87124436.85427046 
6.200000000017871 274623560.6731621 6928693248.0 2326061.0610755347 62028296.97595292 81839372.94343615 
6.128712904264023 285887215.825214 8825513984.0 2326061.0610755347 65161357.40691947 77836016.14621007 
