 wav[um] flux[uJy] fluxerr[uJy] wave_AA flux_flam fluxerr_flam wave_AA_rest
0 3.462541735546464 -13.678993225097656 5.2708067893981925 34625.41735546464 -3.422830202507829e-19 1.3188892174633458e-19 2595.6084974111427
1 3.462541981426821 -21.97360038757324 5.262961864471436 34625.41981426821 -5.498349998785401e-19 1.3169260317252905e-19 2595.6086817292507
2 3.750474716345416 -2.1520884037017822 3.2245373725891118 37504.74716345416 -4.5899597589164514e-20 6.877271749547112e-20 2811.45031210301
3 3.8997208032325936 0.31162747740745544 3.0774359703063965 38997.208032325936 6.147378705028965e-21 6.070762600056619e-20 2923.3289379554676
4 4.010204047847489 -2.1646571159362793 2.800760507583618 40102.0404784749 -4.038103314054058e-20 5.22473522678594e-20 3006.149960905165
5 4.112374932227562 1.661777138710022 2.639094829559326 41123.74932227562 2.9478720434208643e-20 4.6815626998176203e-20 3082.7398292560433
6 4.210148447891012 1.1646634340286255 2.3789353370666504 42101.48447891012 1.9711826910585233e-20 4.026327282683454e-20 3156.0333192586295
7 4.303364999464556 -1.3653903007507324 1.918805122375488 43033.64999464556 -2.2118807123395283e-20 3.1083918192381035e-20 3225.910794201316
8 4.392230557750386 0.7686052322387694 1.472302794456482 43922.30557750386 1.195237837471719e-20 2.2895394597093533e-20 3292.526654985297
9 4.4771726571611 1.714578628540039 0.8740806579589844 44771.726571611 2.5660846293161536e-20 1.3081726925996861e-20 3356.2013921747375
10 4.55865354556191 0.021328644827008247 0.45042821764945984 45586.5354556191 3.0790117213862433e-22 6.502399815058182e-21 3417.2815184122264
11 4.637135470818032 0.1056756153702736 0.18481968343257904 46371.354708180326 1.4743360089392398e-21 2.578516467499581e-21 3476.1135463403543
12 4.713080680794672 0.02947350218892097 0.09495792537927629 47130.80680794672 3.980551527064866e-22 1.2824567384376654e-21 3533.043988601703
13 4.786907292296954 0.07882329076528549 0.06777089089155197 47869.07292296954 1.0319669378919156e-21 8.872671779184719e-22 3588.386276084673
14 4.858838376069904 -0.17197886109352112 0.05273784324526786 48588.383760699035 -2.185402408342144e-21 6.701603261362728e-22 3642.3076282383086
15 4.928978776571737 -0.07882208377122879 0.04356418550014496 49289.787765717374 -9.733191546910644e-22 5.379438626473246e-22 3694.8866391092483
16 4.997414813789307 -0.01853128895163536 0.039834167808294296 49974.14813789307 -2.226055986806769e-22 4.785046952780568e-22 3746.1880163338133
17 5.064232807709461 0.003478874685242772 0.0394696407020092 50642.32807709461 4.0694218717087375e-23 4.616970534252887e-22 3796.2764675483213
18 5.129519078319048 -0.03035555779933929 0.03872523456811905 51295.19078319048 -3.461036453342204e-22 4.415318255407084e-22 3845.216700389092
19 5.193359945604919 -0.02422412857413292 0.03969563543796539 51933.59945604919 -2.694465141703783e-22 4.415370635028411e-22 3893.073422492443
20 5.255841729553918 -0.04154970496892929 0.040296770632267 52558.41729553918 -4.512369359940104e-22 4.37629853789697e-22 3939.911341494691
21 5.317050750152893 0.006972643081098794 0.04279492795467377 53170.507501528926 7.399069018778021e-23 4.541213739286445e-22 3985.7951650321534
22 5.377073327388688 0.0037651478778570886 0.04313776269555092 53770.73327388688 3.906711803456276e-23 4.475967801650347e-22 4030.7896007411455
23 5.435995781248152 0.032903097569942474 0.05238916352391242 54359.957812481516 3.340410329696742e-22 5.31868778091323e-22 4074.959356257985
24 5.4939044317181205 -0.04199792817234993 0.05591776594519615 54939.04431718121 -4.1743313572165796e-22 5.557876161238957e-22 4118.369139218981
25 5.550878153595451 -0.07501449435949324 0.05815043300390244 55508.78153595451 -7.303702120734456e-22 5.661751698503327e-22 4161.078076158509
26 5.606962914858029 -0.013264469802379608 0.05833093076944351 56069.62914858029 -1.2657728695802625e-22 5.56627673215258e-22 4203.1206258306065
27 5.662184732457819 -0.08500844985246657 0.06036560237407684 56621.847324578186 -7.9545438949563265e-22 5.648624750403461e-22 4244.516291197765
28 5.716566496754062 -0.12198523432016373 0.05815441161394119 57165.66496754062 -1.119845218743876e-21 5.338673992608843e-22 4285.282231449822
29 5.770131098105998 -0.023768195882439613 0.06213611736893654 57701.31098105998 -2.1416382347492983e-22 5.598787782395439e-22 4325.43560577661
30 5.822901426872866 0.0021856683306396008 0.06600882858037949 58229.01426872866 1.933867157342865e-23 5.840424363421853e-22 4364.993573367965
31 5.874900373413904 0.20110623538494113 0.06880710273981094 58749.003734139034 1.748017509434671e-21 5.980720594388201e-22 4403.973293413721
32 5.926150828088352 -0.1690514087677002 0.06950381398200989 59261.50828088352 -1.4440912871679458e-21 5.937238436994279e-22 4442.391925103712
33 5.97667568125545 -0.126622274518013 0.0735713019967079 59766.75681255449 -1.0634375359071058e-21 6.178887909467031e-22 4480.266627627773
34 6.026497823274436 -0.064195916056633 0.07579806447029114 60264.97823274436 -5.302719407943837e-22 6.261081580276963e-22 4517.614560175739
35 6.075640144504545 0.04039145261049271 0.07498987019062042 60756.40144504545 3.2826655751068804e-22 6.094523703575228e-22 4554.45288193744
36 6.124125535305019 0.07175678759813309 0.07537428289651871 61241.25535305019 5.739790931130394e-22 6.0291526403441e-22 4590.798752102713
37 6.171976886035096 0.04707510024309158 0.07596883177757262 61719.76886035096 3.7073528840107627e-22 5.982850087012705e-22 4626.669329861391
38 6.219217087054011 -0.03748666122555733 0.07449670881032942 62192.1708705401 -2.9075459247470167e-22 5.778124672273162e-22 4662.081774403307
39 6.265869028721 -0.07940465956926346 0.07827988266944885 62658.69028721 -6.067427800216933e-22 5.981481929181191e-22 4697.053244918291
