z hmass bhmass stmass dymass gmass
15.000000009279582 435163861.8246236 3553384.0 269000.25876383734 3481179.8797148787 82187490.83473858 
14.652173915291925 463330380.8680248 4165334.75 269000.25876383734 3481179.8797148787 62249824.590235144 
14.319148953931595 487274874.5202244 4895052.0 269000.25876383734 3734356.5669930335 60983941.019581795 
14.000000079368613 519663418.9548273 5750078.5 269000.25876383734 5506593.807580367 61743471.161973804 
13.693877621159878 536566282.84617656 6788887.0 284823.80339700426 6772477.243971141 60968117.47662691 
13.40000005499555 564732801.8895777 8008707.0 300647.3480301712 7785184.4227240095 61458647.361933365 
13.117647090916106 609787422.4977857 9436002.0 300647.3480301712 9304244.546392938 68294418.64346148 
12.846153902041944 722453498.6713907 11207691.0 300647.3480301712 9557421.233671093 66031651.75924033 
12.58490567447178 808355476.8231473 13291836.0 300647.3480301712 10063774.608227404 68072889.01524058 
12.33333334104977 826675524.0625923 15788086.0 300647.3480301712 10316951.29550556 70857832.87067796 
12.090909116396793 905535872.4534987 18845132.0 300647.3480301712 11582834.731896333 71111009.58480863 
11.857142870916517 990035429.5837024 22443732.0 300647.3480301712 13101895.71484576 75415013.72503002 
11.631578966099298 1112547977.5612636 26757316.0 300647.3480301712 15127310.072351497 87314319.28917152 
11.413793155398885 1202686743.4307647 32050306.0 300647.3480301712 17152723.570576735 102758098.85114242 
11.203389888821867 1336477708.8869207 38426672.0 316470.8926633381 18671783.694245666 117663877.89894219 
11.000000045814733 1392810746.9737232 46007304.0 300647.3480301712 22469434.003417987 119689291.61198756 
10.80327872209871 1442087392.9731326 55336740.0 300647.3480301712 26013907.625312157 126271886.17938499 
10.612903262344137 1522438736.344848 66446772.0 300647.3480301712 27026616.09298577 137664838.31526518 
10.428571450728723 1581488042.5155005 80142168.0 300647.3480301712 32343324.80726603 138171191.74352652 
10.250000033178221 1680100383.8204901 96677704.0 316470.8926633381 35128270.08588673 135623601.05926493 
10.07692310531341 1725125479.7756126 116871960.0 348117.98192967195 37406861.98995112 134072893.68857113 
9.90909093031712 1754797756.1263654 141579600.0 348117.98192967195 38166390.33322459 131287949.83313376 
9.746268663958205 1853262474.1659286 171490704.0 490529.88362817414 39938628.862732664 131905068.0889318 
9.588235352470946 1839238263.9503987 208106560.0 696235.9638593436 41710863.95511875 130433478.45986494 
9.43478265303356 1957484499.55713 253013424.0 791177.2316583451 43229924.078787684 130085360.48800497 
9.285714338972939 1970180100.3838205 307399232.0 886118.4994573466 46014869.35740838 128471358.94549164 
9.140845098831553 2012400354.295837 375032256.0 1076001.0350553493 49037165.0951008 125781356.37463608 
9.000000038166535 2092707410.6879244 457116288.0 1408295.4723518542 52834817.122834116 123692648.5166237 
8.86301371689571 2089902568.6448183 559462464.0 1819707.6328141934 54607055.6523422 124040766.52876244 
8.72972974418902 2182905225.863596 683915264.0 2041237.2576785306 55872937.37017198 127110534.21109277 
8.600000022507658 2119427221.7301447 839512960.0 2152002.070110699 57376176.42131745 130354360.85250059 
8.473684255249513 2118098612.341305 1028916992.0 2357708.1503418684 59654764.88825985 134737482.73434895 
8.350649381560412 2113817537.6439326 1266228992.0 2547590.6859398712 63199241.94727601 141921372.01458955 
8.230769254416389 2288455860.6436377 1555258880.0 2563414.230573038 63199241.94727601 153646618.59280106 
8.113924083191586 2353262474.1659284 1918007680.0 2769120.310804208 63199241.94727601 171353165.02556685 
8.00000001328246 2534986713.9061117 2367944704.0 2784943.8554373747 65731005.38293557 189597711.98592997 
7.888888930525614 2881310894.5969887 2926043136.0 2800767.4000705415 70794539.12849867 220785918.4528671 
7.780487834629815 2978594626.5131383 3618355968.0 2800767.4000705415 73326309.4384022 232242164.73371428 
7.6746988347809335 3036315323.2949514 4477347328.0 2864061.578603209 78643021.58980446 238824759.3011117 
7.571428615800144 3419397697.0770593 5561869824.0 2943179.3017690433 83200198.52368926 251008888.66529363 
7.470588269496647 3643194567.4638324 6901300224.0 2990649.935668544 90210030.09349434 251673477.52310383 
7.372093041276534 3863005609.6840863 8581758464.0 2990649.935668544 97552155.74312183 253160890.72197807 
7.275862091395776 3857248302.3324475 10693471232.0 3006473.480301711 105131635.28894302 250597476.48133537 
7.1818182242299216 3885444346.028934 13328076800.0 3038120.569568045 113644699.03564961 244014881.8870854 
7.089887678533749 3889725420.7263064 16615763968.0 3053944.114201212 120433001.21890645 239426053.94682357 
7.000000018746457 3768526719.8110423 20753641472.0 3053944.114201212 127696011.1945507 234710637.63607013 
6.912087943117583 3796722763.507529 25921869824.0 3053944.114201212 129721424.69277593 234504931.57765663 
6.826086971445962 3608060230.292294 32493901824.0 3053944.114201212 131240481.37932287 232099752.79341525 
6.741935496813265 3767198110.4222026 40724492288.0 3053944.114201212 134769140.80293757 230232574.523345 
6.659574490472182 3736197224.68261 51230461952.0 3053944.114201212 140513080.34354693 226941277.23964632 
6.578947393033193 3832004723.944494 64428662784.0 3053944.114201212 147871023.62857586 222510684.7289333 
6.5000000110594085 3837614408.0307055 80998539264.0 3053944.114201212 150149615.53264025 223301861.9572351 
6.422680418764917 3827723649.2471213 102196887552.0 3069767.6588343787 154912504.21767184 216497737.78846928 
6.346938782539225 3922054915.8547387 128869351424.0 3069767.6588343787 156684739.31005794 217225620.84495154 
6.27272727615381 3945969884.8538527 162728951808.0 3069767.6588343787 158710152.80828318 214393206.37407577 
6.200000000017871 3894006495.423679 205324533760.0 3069767.6588343787 161431803.4854441 212241204.2905388 
6.128712904264023 3976970770.5934453 260550770688.0 3069767.6588343787 162697695.51463985 213807735.20418748 
6.058823557905113 3965751402.4210215 330368155648.0 3101414.7481007124 164960462.90905878 211845615.68981415 
5.9902912816501095 3989666371.420136 418486910976.0 3180532.471266547 167444759.690026 211655733.16092932 
5.923076924597989 4026276941.24594 531895386112.0 3180532.471266547 173489351.16541082 207604905.73483858 
5.857142882537169 4013581340.41925 675264331776.0 3243826.6497992147 175245761.74815145 206449786.98500878 
5.79245284921325 4016386182.462356 860253388800.0 3243826.6497992147 179802945.55628026 204709197.08543015 
5.728971993928865 3919250073.8116326 1094307086336.0 3243826.6497992147 182334715.8661838 203554078.31546098 
5.66666668228044 4040448774.726897 1400108220416.0 3243826.6497992147 185119650.83343852 206433963.4420539 
5.605504617152788 4154413935.636256 1780261978112.0 3259650.1944323815 187129239.8220183 206687140.16961086 
5.5454545697402144 4109388839.6811337 2276160700416.0 3259650.1944323815 188648310.2570532 207858082.49596113 
5.486486486561121 4110865072.3354 2920082309120.0 3259650.1944323815 190673723.75527844 206592198.9521603 
5.428571446793973 4122084440.507824 3739769896960.0 3243826.6497992147 194471372.34588978 207035258.23545462 
5.371681443677108 4153085326.2474165 4805335973888.0 3243826.6497992147 196370189.76695147 208222024.09133357 
5.315789494186491 4192500738.1163273 6162319671296.0 3275473.7390655484 202936962.56366003 205120609.33651972 
5.260869567932341 4296722763.507528 7927317397504.0 3275473.7390655484 204709211.40453407 210089202.36140382 
5.206896554009874 4348833776.20313 10174607654912.0 3291297.2836987153 204962376.06188527 215722384.27095062 
5.153846160536542 4344552701.505757 13100462899200.0 3243826.6497992147 206971965.05046508 222479037.87798306 
5.101694921122881 4278417478.5946264 16877480837120.0 3243826.6497992147 207699851.24869162 230438280.84357053 
5.0504202007188495 4302332447.59374 21816177328128.0 3243826.6497992147 210389852.90656164 236292992.35448575 
5.000000000007449 4350162385.5919695 28058853572608.0 3291297.2836987153 211908923.34159654 245011765.47589147 
4.950413234078262 4409359315.0280485 36410165821440.0 3307120.828331882 213174801.62230435 255977481.89828473 
4.901639371455913 4460141718.334809 47133386342400.0 3338767.917598216 213427980.0281435 267417904.7033084 
4.853658547788147 4492471213.463242 61034161242112.0 3291297.2836987153 215184390.61088413 274712558.8110857 
4.806451641410779 4368467670.504871 79286178414592.0 3322944.372965049 215943925.8284016 277070266.96646243 
4.760000023668544 4368467670.504871 103014413107200.0 3338767.917598216 217953514.81698138 271247202.52803075 
